time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2024-01-10 10:00:00,53.1,51.1,93.0,0.0,,260.0,10.3,,984.7,,2.0
2024-01-10 11:00:00,48.9,44.1,83.0,0.0,,260.0,10.3,,984.7,,1.0
2024-01-10 12:00:00,48.0,39.0,71.0,0.0,,270.0,11.4,,987.2,,2.0
2024-01-10 13:00:00,46.9,35.8,65.0,0.0,,270.0,11.4,,989.6,,3.0
2024-01-10 14:00:00,46.9,35.8,65.0,0.0,,270.0,21.9,,989.6,,3.0
2024-01-10 15:00:00,48.0,30.7,51.0,0.0,,270.0,19.7,,991.8,,3.0
2024-01-10 16:00:00,48.0,28.8,47.0,0.0,,260.0,19.7,,992.0,,3.0
2024-01-10 17:00:00,48.0,28.8,47.0,0.0,,260.0,19.7,,992.0,,2.0
2024-01-10 18:00:00,48.9,28.0,44.0,0.0,,270.0,23.1,,992.9,,2.0
2024-01-10 19:00:00,46.9,28.8,49.0,0.0,,270.0,23.1,,996.0,,3.0
2024-01-10 20:00:00,46.9,28.8,49.0,0.0,,270.0,20.8,,996.0,,3.0
2024-01-10 21:00:00,46.9,30.2,52.0,0.0,,270.0,23.1,,999.0,,3.0
2024-01-10 22:00:00,46.9,28.8,49.0,0.0,,260.0,17.2,,1000.1,,3.0
2024-01-10 23:00:00,46.9,28.8,49.0,0.0,,270.0,20.8,,1000.1,,2.0
2024-01-11 00:00:00,46.0,30.7,55.0,0.0,,260.0,15.0,,1003.0,,2.0
2024-01-11 01:00:00,45.0,30.2,56.0,0.0,,270.0,17.2,,1004.0,,2.0
2024-01-11 02:00:00,45.0,30.2,56.0,0.0,,270.0,17.2,,1004.0,,3.0
2024-01-11 03:00:00,45.0,30.2,56.0,0.0,,270.0,17.2,,1004.5,,3.0
2024-01-11 04:00:00,44.1,28.9,55.0,0.0,,260.0,17.2,,1005.9,,2.0
2024-01-11 05:00:00,44.1,28.9,55.0,0.0,,260.0,17.2,,1005.9,,3.0
2024-01-11 06:00:00,43.0,28.8,57.0,0.0,,260.0,13.9,,1007.4,,3.0
2024-01-11 07:00:00,43.0,27.9,55.0,0.0,,250.0,10.3,,1008.2,,3.0
2024-01-11 08:00:00,43.0,27.9,55.0,0.0,,250.0,10.3,,1008.2,,1.0
2024-01-11 09:00:00,43.0,26.1,51.0,0.0,,270.0,7.0,,1008.9,,3.0
2024-01-11 10:00:00,42.1,27.9,57.0,0.0,,270.0,11.4,,1009.5,,1.0
2024-01-11 11:00:00,42.1,27.9,57.0,0.0,,270.0,11.4,,1009.5,,1.0
2024-01-11 12:00:00,41.0,28.9,62.0,0.0,,260.0,9.2,,1010.4,,1.0
2024-01-11 13:00:00,42.1,27.9,57.0,0.0,,260.0,11.4,,1012.1,,1.0
2024-01-11 14:00:00,42.1,27.9,57.0,0.0,,260.0,11.4,,1012.1,,1.0
2024-01-11 15:00:00,43.0,27.0,53.0,0.0,,260.0,13.9,,1012.0,,1.0
2024-01-11 16:00:00,42.1,26.2,53.0,0.0,,270.0,13.9,,1011.6,,1.0
2024-01-11 17:00:00,42.1,26.2,53.0,0.0,,270.0,13.9,,1011.6,,1.0
2024-01-11 18:00:00,46.9,27.1,46.0,0.0,,250.0,11.4,,1010.3,,3.0
2024-01-11 19:00:00,48.0,28.2,46.0,0.0,,250.0,8.1,,1010.3,,3.0
2024-01-11 20:00:00,48.0,28.2,46.0,0.0,,250.0,8.1,,1010.3,,1.0
2024-01-11 21:00:00,46.0,28.9,51.0,0.0,,260.0,9.2,,1012.1,,1.0
2024-01-11 22:00:00,45.0,30.2,56.0,0.0,,240.0,9.2,,1012.6,,1.0
2024-01-11 23:00:00,45.0,30.2,56.0,0.0,,240.0,9.2,,1012.6,,1.0
2024-01-12 00:00:00,44.1,31.8,62.0,0.0,,240.0,9.2,,1013.9,,2.0
2024-01-12 01:00:00,44.1,31.8,62.0,0.0,,260.0,9.2,,1014.6,,3.0
2024-01-12 02:00:00,44.1,31.8,62.0,0.0,,260.0,9.2,,1014.6,,3.0
